name,offset,classification,cfg_status
Check_For_Launched_Fighters_,103552,routine_entry,shorter
Is_Ship_Out_Of_Ammo_,103647,routine_entry,matches+unresolved
Is_Ship_Targeted_By_Missile_,103888,routine_entry,matches
Toggle_Auto_Combat_Flags_,103958,routine_entry,shorter+unresolved
Crystal_Control_,104336,routine_entry,extends+unresolved
Do_Auto_Ship_Turn_,104503,routine_entry,extends+unresolved
Target_Missile_Value_,106267,routine_entry,matches+unresolved
Select_Missile_To_Target_,106821,routine_entry,matches
Target_Ship_Value_,107065,routine_entry,matches+unresolved
Select_Ship_To_Target_,107626,routine_entry,matches
Choose_Target_,107752,routine_entry,shorter
Combat_Ship_Class_,107845,routine_entry,matches+unresolved
Evaluate_Possible_Move_,108413,routine_entry,matches
Bring_Weapons_To_Bear_,108560,routine_entry,matches
Auto_Move_Ship_,108965,routine_entry,shorter+unresolved
Get_Current_Ship_Target_,109817,routine_entry,matches+unresolved
Will_Missile_Do_Damage_,110290,routine_entry,shorter+unresolved
Get_Current_Missile_Target_,110505,routine_entry,matches
Get_Current_Target_,110750,routine_entry,shorter
Convert_Ordinal_To_Msl_Type_,110993,routine_entry,matches
Get_Effective_Missile_Strength_,111101,routine_entry,matches+unresolved
Average_Missile_Kills_,112588,routine_entry,matches+unresolved
Get_Effective_Weapon_Damage_,113123,routine_entry,matches
Get_Effective_Beam_Strength_,113246,routine_entry,matches
Get_Total_Hits_,113414,routine_entry,matches+unresolved
Retreat_Check_,113569,routine_entry,matches+unresolved
Get_Long_Range_Beam_Strength_,114213,routine_entry,matches
Resolve_Ai_Boarding_,114547,routine_entry,matches+unresolved
Boarding_Action_Type_,114985,routine_entry,matches+unresolved
Get_Player_Mode_,115770,routine_entry,shorter
Draw_Super_Fast_Screen_,116053,routine_entry,shorter+unresolved
Refresh_Combat_Screen_Full_,116225,routine_entry,shorter+unresolved
Full_Draw_Combat_Screen_,116410,routine_entry,shorter+unresolved
Draw_Grey_Damage_Bars_,117708,routine_entry,shorter+unresolved
Draw_Ship_Status_,119277,routine_entry,shorter+unresolved
Draw_Weapon_Status_Display_,123597,routine_entry,matches
Draw_Special_Status_Display_,125325,routine_entry,extends
Draw_Blip2_,125711,routine_entry,matches
Draw_Blip3_,125826,routine_entry,matches
Draw_Blip4_,126037,routine_entry,matches
Draw_Blip5_,126344,routine_entry,matches
Draw_Reduced_Map_Box_,126801,routine_entry,matches
Draw_Reduced_Combat_Map_,127346,routine_entry,matches
Draw_Option_Panel_Lights_,127874,routine_entry,matches
Draw_Crew_Level_Stars_,128069,routine_entry,shorter+unresolved
Draw_Main_Combat_Screen_,128238,routine_entry,shorter+unresolved
Draw_Ship_,131170,routine_entry,shorter+unresolved
Combat_Draw_View_Ship_,132657,routine_entry,shorter+unresolved
Detailed_View_Ship_,139045,routine_entry,shorter+unresolved
Draw_Shield_Arcs_,139843,routine_entry,shorter+unresolved
Draw_Weapon_Arcs_,141109,routine_entry,shorter+unresolved
Relative_Bearing_XY_,141732,routine_entry,matches
Relative_Bearing_,141856,routine_entry,matches
Get_Weapon_Arc_,142033,routine_entry,shorter
Draw_Ship_To_Bitmap_,142118,routine_entry,shorter+unresolved
Draw_Retreating_Ship_,142740,routine_entry,extends+unresolved
Get_Ship_Anim_Dimensions_,143702,routine_entry,shorter
Remap_Draw_Ship_Status_,143769,routine_entry,matches
Scroll_Draw_Combat_Screen_,144707,routine_entry,shorter+unresolved
Ship_Completely_On_Screen_,145831,routine_entry,shorter+unresolved
Ship_On_Screen_,146201,routine_entry,matches+unresolved
Display_Combat_View_Ship_,146437,routine_entry,shorter+unresolved
Crew_Quality_String_,146682,routine_entry,shorter
Plasma_Darken_,146883,routine_entry,matches
Draw_Bombs_,147296,routine_entry,shorter+unresolved
Create_Ship_Darken_Map_,148102,routine_entry,shorter
Get_Draw_Ship_Offsets_,148564,routine_entry,matches
Get_Ship_Center_Draw_XY_,148803,routine_entry,matches
Draw_Internals_Display_,148894,routine_entry,shorter+unresolved
Draw_Fake_Combat_Buttons_,149793,routine_entry,shorter+unresolved
Draw_Legal_Boxes_,150198,routine_entry,shorter+unresolved
Move_Options_Background_,150594,routine_entry,shorter+unresolved
Draw_Board_Popup_,151240,routine_entry,matches
Board_Popup_,151491,routine_entry,matches+unresolved
Apply_Internal_Damage_,152145,routine_entry,matches+unresolved
Repair_Combat_Ship_,153633,routine_entry,shorter+unresolved
Clear_Internal_Space_,154682,routine_entry,matches
Combat_Bonus_,154710,routine_entry,matches
Computer_Bonus_,154751,routine_entry,shorter+unresolved
Crew_Boarding_Combat_Bonus_,154797,routine_entry,shorter+unresolved
Crew_Defensive_Combat_Bonus_,154829,routine_entry,shorter+unresolved
Crew_Offensive_Combat_Bonus_,154861,routine_entry,shorter+unresolved
Defensive_Combat_Bonus_,154893,routine_entry,shorter+unresolved
Get_Fleet_Engineer_Bonus_,155148,routine_entry,matches
Fighter_Pilot_Bonus_,155242,routine_entry,matches
Get_Fleet_Pilot_Bonus_,155310,routine_entry,matches
Set_Combat_Ordnance_Values_,155402,routine_entry,shorter+unresolved
Leader_Ordnance_Bonus_,155469,routine_entry,matches
Get_Fleet_Ordnance_Bonus_,155518,routine_entry,matches
Get_Fleet_Commando_Bonus_,155610,routine_entry,matches
Commando_Bonus_,155702,routine_entry,matches
Engineer_Bonus_,155770,routine_entry,matches
Get_Fleet_Security_Bonus_,155818,routine_entry,matches
Security_Bonus_,155910,routine_entry,matches
Fleet_Defensive_Bonus_,155961,routine_entry,matches+unresolved
Fleet_Offensive_Bonus_,156262,routine_entry,shorter+unresolved
Heal_System_,156561,routine_entry,matches+unresolved
Init_Internal_Space_,156784,routine_entry,shorter+unresolved
Kill_Crew_,157359,routine_entry,shorter+unresolved
Offensive_Combat_Bonus_,157405,routine_entry,shorter+unresolved
Helmsman_Bonus_,157565,routine_entry,matches
Weaponry_Bonus_,157614,routine_entry,matches
Galactic_Lore_Bonus_,157663,routine_entry,matches
Select_Internal_,157712,routine_entry,matches+unresolved
Ship_Specials_Defensive_Bonus_,158307,routine_entry,matches
Ship_Specials_Offensive_Bonus_,158534,routine_entry,matches
Total_Internal_Space_,158564,routine_entry,shorter+unresolved
Max_Total_Internal_Space_,158690,routine_entry,shorter+unresolved
Weapons_Left_,158816,routine_entry,matches+unresolved
Final_Fire_,158876,routine_entry,matches
Defensive_Fire_Check_,159441,routine_entry,matches+unresolved
Max_Defensive_Fire_Range_,160115,routine_entry,matches
Get_Combat_Ship_Special_Id_,160340,routine_entry,matches
Init_Boarding_Action_,160445,routine_entry,shorter+unresolved
Resolve_Raid_,160520,routine_entry,matches+unresolved
Resolve_Capture_,163240,routine_entry,matches+unresolved
Capture_Ship_,164626,routine_entry,shorter+unresolved
Select_Raid_Internal_,165032,routine_entry,shorter+unresolved
Damage_From_Ship_Exploding_,165462,routine_entry,shorter+unresolved
Apply_Combat_Artemis_Net_,165519,routine_entry,matches+unresolved
Combat_Ship_Done_,165946,routine_entry,matches
Set_Combat_Ship_Done_,165976,routine_entry,matches
